,Date,Temp,Outlook,Humidity,Windy,Play
0,5-Mar,hot,sunny,high,False,no
1,6-Mar,hot,sunny,high,True,no
2,7-Mar,hot,overcast,high,False,yes
3,8-Mar,cool,rain,normal,False,yes
4,9-Mar,cool,overcast,normal,True,yes
5,10-Mar,mild,sunny,high,False,no
6,11-Mar,cool,sunny,normal,False,yes
7,12-Mar,mild,rain,normal,False,yes
8,13-Mar,mild,sunny,normal,True,yes
9,14-Mar,mild,overcast,high,True,yes
10,15-Mar,hot,overcast,normal,False,yes
11,16-Mar,mild,rain,high,True,no
12,17-Mar,cool,rain,normal,True,no
13,18-Mar,mild,rain,high,False,yes
